incidentDate,state,cityOrCounty,address,killed,injured,operations: d.operations,type,age
28-Dec-14,Mississippi,Tylertown,Kirklin Road,1,0,N/A,Accidental,Teen
27-Dec-14,Iowa,Traer,Ridge Road,1,0,N/A,Accidental,Teen
26-Dec-14,West Virginia,Cameron,North Avenue,1,1,N/A,Accidental,Teen
25-Dec-14,Kentucky,Frankfort,Taylor Avenue,1,0,N/A,Accidental,Teen
21-Dec-14,Nevada,Las Vegas,3600 block of Elegant Saint Court,1,0,N/A,Accidental,Teen
14-Dec-14,Wisconsin,Pierce County,Maiden Rock,1,0,N/A,Accidental,Teen
11-Dec-14,Illinois,Lynwood,2700 block of Lake Park Drive,1,0,N/A,Accidental,Teen
07-Dec-14,South Carolina,Greenville,Echols Drive,1,0,N/A,Accidental,Teen
06-Dec-14,Michigan,Jackson County,500 block of Big Rock Street,1,0,N/A,Accidental,Teen
04-Dec-14,Georgia,Savannah,600 block of W. 54th Street,1,0,N/A,Accidental,Teen
04-Dec-14,Indiana,Kokomo,4500 block of West 1300 South Galveston,1,0,N/A,Accidental,Teen
04-Dec-14,Texas,Arlington,1200 block of Golden View Court,1,0,N/A,Accidental,Teen
01-Dec-14,Colorado,Yuma,S. Albany Street,1,0,N/A,Accidental,Teen
29-Nov-14,South Carolina,Myrtle Beach,10177 N Kings Hwy,1,0,N/A,Accidental,Teen
28-Nov-14,Texas,Childress,N/A,1,0,N/A,Accidental,Teen
24-Nov-14,Texas,Atlanta,400 block of East Thomas Street,1,0,N/A,Accidental,Teen
23-Nov-14,Utah,Kaysville,1200 Cooper Street,1,0,N/A,Accidental,Teen
19-Nov-14,New Mexico,Albuquerque,Central and 57th Street,1,0,N/A,Accidental,Teen
16-Nov-14,Colorado,Clifton,3200 block of E Rood Circle,1,0,N/A,Accidental,Teen
13-Nov-14,Minnesota,Wadena,39573 615th Ave,1,0,N/A,Accidental,Teen
08-Nov-14,North Dakota,Butte,ND 53,1,0,N/A,Accidental,Teen
07-Nov-14,Michigan,Lansing,Ada Street,1,0,N/A,Accidental,Teen
01-Nov-14,Georgia,Tifton,Tift Avenue North,1,0,N/A,Accidental,Teen
29-Oct-14,Florida,Belleview,121st Place,1,0,N/A,Accidental,Teen
26-Oct-14,Indiana,Evansville,2900 block of Fulton Avenue,1,0,N/A,Accidental,Teen
19-Oct-14,Texas,Corpus Christi,3800 block of Reynosa Street,1,0,N/A,Accidental,Teen
17-Oct-14,North Carolina,Catawba,Hudson Chapel Road,1,0,N/A,Accidental,Teen
17-Oct-14,New York,Medina,5000 block of Salt Works Rd,1,0,N/A,Accidental,Teen
01-Oct-14,South Carolina,Lexington,Armwood Court,1,0,N/A,Accidental,Teen
26-Sep-14,Texas,Houston,Force and Crown,1,0,N/A,Accidental,Teen
25-Sep-14,Wisconsin,Poynette,W10511 Tipperary Rd,1,0,N/A,Accidental,Teen
21-Sep-14,Michigan,Drummond Island (Drummond),Glen Cove Rd,1,0,N/A,Accidental,Teen
20-Sep-14,Tennessee,Cordova,9700 block of Woodland Edge Lane,1,0,N/A,Accidental,Teen
11-Sep-14,Louisiana,Alexandria,600 block of Richmond Drive,1,0,N/A,Accidental,Teen
18-Aug-14,Kentucky,Brooksville,Belmont Road,1,0,N/A,Accidental,Teen
16-Aug-14,Oklahoma,Mcalester (Bache),2701 N Spruce,1,0,N/A,Accidental,Teen
14-Aug-14,Texas,San Antonio,4600 East Houston St.,1,0,N/A,Accidental,Teen
14-Aug-14,Oklahoma,Midwest City,200 block of N. Shadybrook Dr.,1,0,N/A,Accidental,Teen
05-Aug-14,Connecticut,Killingly,Kenneth Drive,1,0,N/A,Accidental,Teen
05-Aug-14,Georgia,Macon,308 Bobby Jones Street,1,0,N/A,Accidental,Teen
03-Aug-14,Florida,Homestead (Florida City),425 NW 13th Street,1,0,N/A,Accidental,Teen
03-Aug-14,Michigan,Wyoming,28th Street SW,1,0,N/A,Accidental,Teen
02-Aug-14,Florida,Palm Beach Gardens,Pinella Circle,1,0,N/A,Accidental,Teen
05-Jul-14,Texas,Houston,11400 block of Panay,1,0,N/A,Accidental,Teen
03-Jul-14,Texas,Dallas,N/A,1,0,N/A,Accidental,Teen
02-Jul-14,Arizona,Phoenix,363rd and Durango,1,0,N/A,Accidental,Teen
30-Jun-14,Texas,Houston,6301 Ranchester,1,0,N/A,Accidental,Teen
29-Jun-14,Ohio,Cincinnati,5500 block of Marie Avenue,1,0,N/A,Accidental,Teen
24-Jun-14,Washington,Shelton (Skokomish),100 block of N Twana Ct,1,0,N/A,Accidental,Teen
22-Jun-14,Texas,Austin,4500 Lareina Dr.,1,0,N/A,Accidental,Teen
16-Jun-14,California,Santa Cruz,238 Center St,1,0,N/A,Accidental,Teen
11-Jun-14,Florida,Miami,1400 block of Northwest 3rd Street,1,0,N/A,Accidental,Teen
10-Jun-14,Louisiana,Baton Rouge,N. 48thStreet,1,0,N/A,Accidental,Teen
05-Jun-14,Louisiana,Larose,100 block of East 23rd Street,1,0,N/A,Accidental,Teen
05-Jun-14,Utah,Salt Lake City (Cottonwood Heights),6825 S. Pinerock Drive,1,0,N/A,Accidental,Teen
03-Jun-14,Ohio,Columbus,1100 block of Oaks Boulevard,1,0,N/A,Accidental,Teen
22-May-14,Georgia,Madison County,Broad River,1,0,N/A,Accidental,Teen
28-Apr-14,North Carolina,Durham,Macon Street and Washington ,1,0,N/A,Accidental,Teen
04-Apr-14,Georgia,Waycross, 4900 Jana Lane,1,0,N/A,Accidental,Teen
04-Apr-14,Georgia,Savannah,1400 Church Street ,1,0,N/A,Accidental,Teen
03-Apr-14,Oklahoma,Bokoshe,Buck Creek Road,1,0,N/A,Accidental,Teen
22-Mar-14,Pennsylvania,Pittsburgh,Zara Street,1,0,N/A,Accidental,Teen
